"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","174769","Go to numbered bookmark 0/1/2","ctrl+0 or ctrl+1 or ctrl+2","ctrl+0 or ctrl+1 or ctrl+2","IntelliJ IDEA","Navigation","ctrl"
"","174770","Show bookmarks","shift+f11","cmd+f3","IntelliJ IDEA","Navigation","shift"
"","174771","Make project","ctrl+f9","cmd+f9","IntelliJ IDEA","Compile and Run","ctrl"
"","174772","Compile selected file, package or module","ctrl+shift+f9","shift+cmd+f9","IntelliJ IDEA","Compile and Run","ctrl shift"
"","174773","Select configuration and run","alt+shift+f10","ctrl+alt+r","IntelliJ IDEA","Compile and Run","alt shift"
"","174774","Select configuration and debug","alt+shift+f9","ctrl+alt+d","IntelliJ IDEA","Compile and Run","alt shift"
"","174775","Run","shift+f10","ctrl+r","IntelliJ IDEA","Compile and Run","shift"
"","174776","Debug","shift+f9","ctrl+d","IntelliJ IDEA","Compile and Run","shift"
"","174777","Run context configuration from editor","ctrl+shift+f10","ctrl+shift+r or ctrl+shift+d","IntelliJ IDEA","Compile and Run","ctrl shift"
"","174778","Find usages","alt+f7","alt+f7","IntelliJ IDEA","Usage Search","alt"
"","174779","Find usages in file","ctrl+f7","cmd+f7","IntelliJ IDEA","Usage Search","ctrl"
"","174780","Highlight usages in file","ctrl+shift+f7","shift+cmd+f7","IntelliJ IDEA","Usage Search","ctrl shift"
"","174781","Show usages","ctrl+alt+f7","alt+cmd+f7","IntelliJ IDEA","Usage Search","ctrl alt"
"","174782","Commit project to VCS","ctrl+k","cmd+k","IntelliJ IDEA","VCS / Local History","ctrl"
"","174783","Update project from VCS","ctrl+t","cmd+t","IntelliJ IDEA","VCS / Local History","ctrl"
"","174784","Push commits","ctrl+shift+k","shift+cmd+k","IntelliJ IDEA","VCS / Local History","ctrl shift"
"","174785","‘VCS’ quick popup","alt+`","ctrl+v","IntelliJ IDEA","VCS / Local History","alt"
"","174786","Surround with Live Template","ctrl+alt+j","alt+cmd+j","IntelliJ IDEA","Live Templates","ctrl alt"
"","174787","Insert Live Template","ctrl+j","cmd+j","IntelliJ IDEA","Live Templates","ctrl"
