"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","72202","Show Next Tab","n/A","ctrl+tab","XCode","Window Menu","ctrl"
"","72203","Developer Documentation","n/A","shift+cmd+0","XCode","Window Menu","shift cmd"
"","72204","Welcome to Xcode","n/A","shift+cmd+1","XCode","Window Menu","shift cmd"
"","72205","Devices and Simulators","n/A","shift+cmd+2","XCode","Window Menu","shift cmd"
"","72206","Organizer","n/A","alt+shift+cmd+o","XCode","Window Menu","alt shift cmd"
"","72207","Scroll Page Down","n/A","ctrl+down","XCode","Scrolling","ctrl"
"","72208","Scroll to End of Document","n/A","end","XCode","Scrolling","None"
"","72209","Center Selection in Visible Area","n/A","ctrl+l","XCode","Scrolling","ctrl"
"","72210","Scroll Page Up","n/A","ctrl+up","XCode","Scrolling","ctrl"
"","72211","Scroll to Beginning of Document","n/A","home","XCode","Scrolling","None"
"","72212","Delete to Mark","n/A","ctrl+w","XCode","Mark & Yank","ctrl"
"","72213","Set Mark","n/A","ctrl+@","XCode","Mark & Yank","ctrl"
"","72214","Yank","n/A","ctrl+y","XCode","Mark & Yank","ctrl"
"","72215","Select Previous Completion","n/A","ctrl+>","XCode","Code Completion","ctrl"
"","72216","Show Completion List","n/A","alt+esc","XCode","Code Completion","alt"
"","72217","Select Next Completion","n/A","ctrl+.","XCode","Code Completion","ctrl"
"","72218","Insert Newline","n/A","enter","XCode","Insert","None"
"","72219","Insert Tab without Extra Action","n/A","alt+tab","XCode","Insert","alt"
"","72220","Insert Double Quote without Extra Action","n/A","ctrl+""","XCode","Insert","ctrl"
"","72221","Insert Backtab","n/A","shift+tab","XCode","Insert","shift"
"","72222","Insert Newline without Extra Action","n/A","alt+enter","XCode","Insert","alt"
"","72223","Insert Single Quote without Extra Action","n/A","ctrl+'","XCode","Insert","ctrl"
"","72224","Insert Line Break","n/A","ctrl+enter","XCode","Insert","ctrl"
"","72225","Insert Tab","n/A","tab","XCode","Insert","None"
"","72226","Insert Newline and Leave Selection Before It","n/A","ctrl+o","XCode","Insert","ctrl"
"","72227","Delete Forward","n/A","ctrl+d","XCode","Deletions","ctrl"
"","72228","Delete Subword Backward","n/A","ctrl+backspace","XCode","Deletions","ctrl"
"","72229","Delete to End of Paragraph","n/A","ctrl+k","XCode","Deletions","ctrl"
"","72230","Delete Backward","n/A","ctrl+h","XCode","Deletions","ctrl"
"","72231","Delete Word Backward","n/A","alt+backspace","XCode","Deletions","alt"
"","72232","Delete to Beginning of Text","n/A","cmd+backspace","XCode","Deletions","cmd"
"","72233","Move Up","n/A","ctrl+p","XCode","Selection","ctrl"
"","72234","Move Down","n/A","ctrl+n","XCode","Selection","ctrl"
